Component,Quantile,F-Value,P-Value
CPU,Second Quantile,5.873282604469485,2.0667971846196929e-19
CPU,Third Quantile,4.366434790941974,3.9496273506345655e-14
CPU,First Quantile,2.932768457029796,1.7392503318638818e-10
Disk,First Quantile,0.8683757620204933,0.6881387489546256
Disk,Second Quantile,4.248217700529921,8.344272196043286e-06
Disk,Third Quantile,2.7934774040838977,0.0006893574068409496
GPU,Second Quantile,14.837948893807006,6.297203820613526e-06
GPU,First Quantile,22.77793787748165,1.5660836271381222e-06
GPU,Third Quantile,21.326071385132632,6.220268694016526e-06
Memory,First Quantile,2.844225528043528,8.097685948763543e-09
Memory,Second Quantile,6.141993856522386,3.917957946330544e-22
Memory,Third Quantile,1.5217314086398468,0.008942651654752326
