"Quantile","F_Value","P_Value","Component"
"First Quantile",2.89276390435076,1.8230060060332e-28,"CPU"
"Second Quantile",2.89276390435076,1.8230060060332e-28,"CPU"
"Third Quantile",2.89276390435076,1.8230060060332e-28,"CPU"
"First Quantile",1.67182102292763,0.0011825615730936,"Disk"
"Second Quantile",1.67182102292763,0.0011825615730936,"Disk"
"Third Quantile",1.67182102292763,0.0011825615730936,"Disk"
"First Quantile",4.86327543660857,1.00108245669052e-10,"GPU"
"Second Quantile",4.86327543660857,1.00108245669052e-10,"GPU"
"Third Quantile",4.86327543660857,1.00108245669052e-10,"GPU"
"First Quantile",1.47015676288045,6.66366371061523e-05,"Memory"
"Second Quantile",1.47015676288045,6.66366371061523e-05,"Memory"
"Third Quantile",1.47015676288045,6.66366371061523e-05,"Memory"
